NGC DESIGNATION,OTHER NAME(S),R.A.   ,DEC.  ,Distance
NGC2422,M47,07 36.6,-14 29,1600
NGCMelotte71,Collinder 155            ,07 37.5,-12 03,10.3000
NGC2425,OCL  599          ,07 38.3,-14 53,11000
NGC2439,OCL  688          ,07 40.8,-31 42,12.6000
NGC2437,M46,07 41.8,-14 49,4485
NGC2438,PK231+4.2   (in M46)     ,07 41.8,-14 44,3200
NGC2440,"ALBINO BUTTERFLY NEBULA,BURNING EMBER,BAT NEB.",07 41.9,-18 13,5700
NGC2447,M93,07 44.5,-23 51,3385
NGC2451,STINGING SCORPION CLUSTER,07 45.4,-37 57,985
NGC2452,PK243-1.1   (in same field as 2453)     ,07 47.4,-27 20,12000
NGC2453,OCL  670          ,07 47.6,-27 12,7010
NGC2477,TERMITE HOLE CLUSTER      ,07 52.2,-38 32,4000
NGC2467,"OC HAFFNER 18 & 19 WITHIN THE NEB.,CHAINED BROOCH NEB.,SKULL & CROSSBONES NEB.",07 52.5,-26 24,13000
NGC2479,OCL  623          ,07 55.1,-17 42,3915
NGC2489,OCL  690          ,07 56.3,-30 04,12.9000
NGC2509,OCL  630          ,08 00.8,-19 03,2975
NGC2533,OCL  695          ,08 07.0,-29 52,11000
NGC2539,THE DISH CLUSTER,08 10.6,-12 49,4450
NGC2546,HEART&DAGGER CLUSTER,08 12.4,-37 37,3000
NGC2567,OCL  708          ,08 18.5,-30 39,5470
NGC2588,OCL  715          ,08 23.2,-32 59,16.1000
NGC55,Dunlop 507        ,00 15.1,-39 11,6.2000000
NGC134,GIANT SQUID GALAXY,00 30.4,-33 15,60000000
NGC253,ESO 474-29/Sculptor Galaxy/SILVER COIN GAL.  ,00 47.6,-25 18,13000000
NGC288,ESO 474-SC37      ,00 52.8,-26 35,30000
NGC300,ESO 295-20        ,00 54.9,-37 41,6.8000000
NGC7793,BOND'S GALAXY,23 57.8,-32 36,13000000
NGC6093,M80            ,16 17.0,-22 59,32.6000
NGC6121,M4 CRAB OR SPIDER GLOBULAR,16 23.6,-26 32,7.2000
NGC6144,GCL  42           ,16 27.2,-26 01,33000
NGC6242,OCL 1001          ,16 55.5,-39 28,3900
NGC6281,MOTH WING CLUSTER,17 04.8,-37 53,1830
NGC6302,BUG NEBULA/BUTTERFLY NEB.,17 13.7,-37 06,3800
NGC6383,6374,17 34.7,-32 35,4250
NGC6404,OCL 1024          ,17 39.6,-33 14,5950
NGC6400,PHANTOM CLUSTER,17 40.2,-36 58,3100
NGC6405,M6 BUTTERFLY CLUSTER,17 40.3,-32 15,1590
NGC6444,Ruprecht132            ,17 49.6,-34 49,1830
NGC6441,SILVER NUGGET CLUSTER,17 50.2,-37 03,37.8000
NGC6451,OCL 1035/Tom Thumb Cluster      ,17 50.7,-30 13,6800
NGC6649,OCL   66          ,18 33.5,-10 24,4470
NGC6664,SANTA'S SLEIGH CLUSTER,18 36.5,-08 11,3800
NGC6694,M26,18 45.2,-09 23,5200
NGC6705,M11 WILD DUCK CLUSTER,18 51.1,-06 16,5500
NGC6712,GCL 103           ,18 53.1,-08 42,22.5000
NGC5904,M5 ROSE CLUSTER,15 18.6,+02 05,24.5000
NGC6539,GCL  85           ,18 04.8,-07 35,27000
NGCTrumpler32,Harvard 19        ,18 17.2,-13 21,5600
NGC6611,M16 EAGLE NEBULA--the cluster,18 18.8,-13 47,5700
NGCIC4703(BN),M16 EAGLE NEBULA--the nebula/Star Queen Nebula,18 18.8,-13 50,7000
NGCIC4756,TWEEDLEDEE CLUSTER,18 38.9,+05 26,1580
NGC3115,MCG - 1-26- 18 SPINDLE GAL.   ,10 05.2,-07 43,33000000
NGCHarvard20,                  ,19 53.2,+18 21,5020
NGC6838,M71 ANGELFISH CLUSTER (ARROWHEAD),19 53.8,+18 47,12000
NGC6440,GCL  77           ,17 48.9,-20 22,27.7000
NGC6445,BOX NEBULA (in same field as 6440)/COFFIN NEB.,17 49.3,-20 01,4400
NGC6494,M23,17 56.9,-19 01,2050
